first_generation,underrepresented,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa,gpa_change,term_load_z,under_6h_sleep,gpa_category,sleep_bracket_encoded,gpa_category_encoded,gender_Male,university_University of Notre Dame,university_University of Washington
0.0,0.0,-0.535676156801099,-1.7049275610831198,1.513907520979736,-0.5670731087631947,0.3546332299824975,1.3384603931802963,3.76,-0.554050192464906,0.1238173606599698,0,Alto,3,1,0,0,0
0.0,0.0,0.1857504399262324,0.5960454433324532,-0.5491453215817397,-0.5733102777340071,-0.03068718395984828,1.3384603931802963,3.55,-1.0731575790291077,0.1238173606599698,0,Baixo,4,0,0,0,0
0.0,1.0,-2.8300492677044136,2.6974347699258847,0.01790116284389299,-0.2863694396145877,-1.5719688397292302,-1.2536575567357595,3.59,1.4976599544317,-0.7633810490976601,1,Alto,1,1,0,0,0
0.0,0.0,0.28036376408719393,-0.44512092297689815,1.9798526942287056,0.8798400730708275,0.3546332299824975,0.8200368031970847,3.46,-0.801244186066907,-2.2515448621129024,0,Baixo,4,0,0,0,0
0.0,1.0,0.20940377096647228,1.1928270651452282,-0.6297333232442972,-0.3101250205227216,0.3546332299824975,-0.8129975052500303,3.5,0.8549555710664982,-2.2515448621129024,0,Baixo,4,0,0,0,0
1.0,1.0,-0.9969161120857857,1.3353542023734122,2.1146544424642557,1.2815303810538117,-0.8013280118445393,-2.246438731553609,2.54,0.459445181303297,0.1238173606599698,1,Baixo,2,0,1,0,0
0.0,0.0,-1.127009432807108,0.3414601814666435,1.3996190822582903,0.6222561355296338,-0.6058756279607407,-0.21681037676933745,3.5,0.2864093857818964,-1.0595268869916177,1,Baixo,2,0,1,0,0
0.0,1.0,0.3394970916877946,0.15995307911649706,1.03037951100439,0.23509130528420252,0.3546332299824975,-2.246438731553609,2.49,-0.2821367995027053,-0.17232847723398767,0,Baixo,4,0,1,0,0
0.0,0.0,-0.32279617743893607,0.012999592562151899,0.7300060502621298,-0.261658526688532,0.5500856138662955,-1.7980023262181313,3.37,1.4729405550715,0.1238173606599698,0,Baixo,3,0,1,0,0
0.0,0.0,0.6469903952109191,-0.9171734723888196,1.094849912334436,0.24782616838828925,-0.22055521401839548,1.3384603931802963,3.61,-0.9248411828679073,-0.46847431512794513,0,Alto,5,1,0,0,0
0.0,0.0,-0.7840361327236227,0.04527563056282711,0.505824882000833,-0.42323240969665166,-0.03068718395984828,1.3384603931802963,3.44,-1.3450709719913085,1.6020683422812723,1,Baixo,2,0,0,0,0
1.0,1.0,0.9899636952944044,-0.6195659963106561,-1.892767094755655,-0.5931560030286143,0.7399536439248426,1.3384603931802963,3.81,-0.4304531956639057,-0.17232847723398767,0,Alto,5,1,1,0,0
0.0,0.0,0.09113711576527089,0.6977774551848043,0.6933751404155127,-0.5798225416692985,0.3546332299824975,0.7941156236979248,4.0,0.5583227787440972,-0.7633810490976601,0,Alto,4,1,0,0,0
0.0,0.0,-0.5829828188815798,-1.855514434508763,0.4149802255812227,-0.23004917372638314,0.7399536439248426,0.2238496747163919,3.81,0.6324809768246975,0.7148699325236423,0,Alto,3,1,0,0,0
0.0,0.0,-0.6066361499218196,0.054383399811759756,0.13512007435306772,0.657101342343076,0.3546332299824975,0.5608250082054801,3.57,-0.2821367995027053,0.4187240946296848,0,Alto,3,1,0,0,0
0.0,0.0,1.1437103470559666,-0.6127677711729219,0.5439210282413152,-0.41585517228743374,0.1647651999239503,1.3384603931802963,4.0,0.03921539217989567,0.7148699325236423,0,Alto,6,1,0,0,0
0.0,0.0,-1.316236081129031,0.25519648001271555,2.2597128454568605,0.8373760681266619,-1.1866484257868843,-1.4610269927290442,3.12,0.5336033793838972,0.4187240946296848,1,Baixo,2,0,0,0,0
0.0,0.0,0.1857504399262324,-1.799164504952449,-0.0817349119389057,0.1128678005062853,0.1647651999239503,0.6645097262021223,3.81,0.2122511877012962,1.0097766664933572,0,Alto,4,1,0,0,0
0.0,0.0,-0.925956118965065,-0.11771816121249727,-0.697134197362073,1.4981065980394692,-0.41600759790219344,-0.5019433512601033,3.39,0.2864093857818964,0.1238173606599698,1,Baixo,2,0,1,0,0
0.0,0.0,-0.7840361327236227,-0.1740680907688113,0.7988721607737699,0.010436822821686018,-0.6058756279607407,0.27569203371471307,3.38,-0.47989199438430585,0.1238173606599698,1,Baixo,2,0,1,0,0
0.0,0.0,1.1437103470559666,-0.3967636585268644,-1.2964158824527285,-0.6348825597094264,0.5500856138662955,-0.009440940776052781,2.98,-1.1967545758301081,-0.17232847723398767,0,Baixo,6,0,0,0,0
0.0,0.0,-1.9430493536953999,-0.31538274741429906,0.2640608770131601,0.4780651724739732,-0.8013280118445393,1.3384603931802963,4.0,0.03921539217989567,0.7148699325236423,1,Alto,1,1,0,0,0
0.0,0.0,-1.0678761052065073,-0.5462723550065941,1.4142714461969372,-0.26351570529771745,0.1647651999239503,-1.0722093002416362,4.0,2.338119532678503,-0.17232847723398767,1,Alto,2,1,0,0,0
0.0,0.0,-0.40558283607977663,-2.6482403286830234,1.1212241674240004,-0.4766951422838596,0.7399536439248426,-0.009440940776052781,3.46,-0.01022340654050448,-0.46847431512794513,0,Baixo,3,0,1,0,0
0.0,0.0,0.008350457124429287,-0.9500886812218751,1.549073194432488,0.339812529189311,-2.7279300815562664,1.3384603931802963,4.0,0.03921539217989567,-1.0595268869916177,0,Alto,4,1,0,0,0
0.0,0.0,0.28036376408719393,0.7731377655862456,0.9087648903136212,-0.38921803555851797,-0.22055521401839548,0.7422732646996035,3.57,-0.45517259502410584,-0.46847431512794513,0,Alto,4,1,1,0,0
0.0,0.0,0.4932437434493569,1.2087766681354613,0.07651061859848035,0.013795075704064819,0.7399536439248426,-0.6833916077542268,3.58,0.9291137691470983,1.3059225043873148,0,Alto,5,1,1,0,0
0.0,0.0,-2.2505426572185256,-0.18452198515949045,2.401840775661734,2.2841710288254475,-1.3765164558454317,0.8459579826962459,3.56,-0.5787695918251061,-0.17232847723398767,1,Alto,1,1,0,0,0
0.0,0.0,0.5523770710499576,0.6977774551848043,-0.31910320774498435,-0.4247102562813041,0.7399536439248426,0.6645097262021223,3.81,0.2122511877012962,1.0097766664933572,0,Alto,5,1,1,0,0
0.0,0.0,-1.1624894293674688,-1.439381581059013,0.4017930980364401,-0.35706454374004026,0.5500856138662955,-0.21681037676933745,3.81,1.0527107659480988,0.7148699325236423,1,Alto,2,1,0,0,0
0.0,0.0,-0.7012494740827812,-0.16367953364478519,0.2640608770131601,1.469975427093262,-0.8013280118445393,0.8200368031970847,3.61,-0.4304531956639057,2.0667323138722096,0,Alto,3,1,1,0,0
