avg_sleep_hours,sleep_midpoint_minutes,prior_gpa,underrepresented,first_generation,term_gpa
-0.535676156801099,1.513907520979736,1.3384603931802963,0.0,0.0,3.76
0.1857504399262324,-0.5491453215817397,1.3384603931802963,0.0,0.0,3.55
-2.8300492677044136,0.0179011628438929,-1.2536575567357595,1.0,0.0,3.59
0.2803637640871939,1.9798526942287056,0.8200368031970847,0.0,0.0,3.46
0.2094037709664722,-0.6297333232442972,-0.8129975052500303,1.0,0.0,3.5
-0.9969161120857856,2.114654442464256,-2.246438731553609,1.0,1.0,2.54
-1.127009432807108,1.3996190822582903,-0.2168103767693374,0.0,0.0,3.5
0.3394970916877946,1.03037951100439,-2.246438731553609,1.0,0.0,2.49
-0.322796177438936,0.7300060502621298,-1.7980023262181313,0.0,0.0,3.37
0.6469903952109191,1.094849912334436,1.3384603931802963,0.0,0.0,3.61
-0.7840361327236227,0.505824882000833,1.3384603931802963,0.0,0.0,3.44
0.9899636952944044,-1.892767094755655,1.3384603931802963,1.0,1.0,3.81
0.0911371157652708,0.6933751404155127,0.7941156236979248,0.0,0.0,4.0
-0.5829828188815798,0.4149802255812227,0.2238496747163919,0.0,0.0,3.81
-0.6066361499218196,0.1351200743530677,0.5608250082054801,0.0,0.0,3.57
1.1437103470559666,0.5439210282413152,1.3384603931802963,0.0,0.0,4.0
-1.316236081129031,2.2597128454568605,-1.4610269927290442,0.0,0.0,3.12
0.1857504399262324,-0.0817349119389057,0.6645097262021223,0.0,0.0,3.81
-0.925956118965065,-0.697134197362073,-0.5019433512601033,0.0,0.0,3.39
-0.7840361327236227,0.7988721607737699,0.275692033714713,0.0,0.0,3.38
1.1437103470559666,-1.2964158824527283,-0.0094409407760527,0.0,0.0,2.98
-1.9430493536954,0.2640608770131601,1.3384603931802963,0.0,0.0,4.0
-1.067876105206507,1.4142714461969372,-1.0722093002416362,0.0,0.0,4.0
-0.4055828360797766,1.1212241674240004,-0.0094409407760527,0.0,0.0,3.46
0.0083504571244292,1.549073194432488,1.3384603931802963,0.0,0.0,4.0
0.2803637640871939,0.9087648903136212,0.7422732646996035,0.0,0.0,3.57
0.4932437434493569,0.0765106185984803,-0.6833916077542268,0.0,0.0,3.58
-2.2505426572185256,2.401840775661734,0.8459579826962459,0.0,0.0,3.56
0.5523770710499576,-0.3191032077449843,0.6645097262021223,0.0,0.0,3.81
-1.1624894293674688,0.4017930980364401,-0.2168103767693374,0.0,0.0,3.81
-0.7012494740827812,0.2640608770131601,0.8200368031970847,0.0,0.0,3.61
0.5878570676103184,1.326357262565056,0.7163520852004424,0.0,0.0,3.72
0.0083504571244292,-0.327894626108172,0.3016132132138742,0.0,0.0,4.0
0.3276704261676747,0.1614943294426322,0.7941156236979248,0.0,0.0,3.0
-1.127009432807108,1.3512662812607557,0.1979284952172318,0.0,0.0,3.59
